review_status,relative_to_audio_bee,file_name,duration_seconds,size_bytes,proposed_search_title,canonical_title,series_or_project,episode_or_segment,rights_status,rights_notes,publishable,sensitivity_level,primary_topics,people_entities,summary_for_search,notes
todo,audio recordings/Variety Baby_1.mp3,Variety Baby_1.mp3,3472.492,55559874,Variety Baby_1,,Audio Bee,,,,,,,,,
todo,audio recordings/Wayne 10_2_24 Case Rant^.wav,Wayne 10_2_24 Case Rant^.wav,2663.376,234904514,Wayne 10_2_24 Case Rant,,Audio Bee,,,,,,,,,
todo,audio recordings/Wayne 10_2_24 Case Rant.mp3,Wayne 10_2_24 Case Rant.mp3,2663.376,42614019,Wayne 10_2_24 Case Rant,,Audio Bee,,,,,,,,,
todo,audio recordings/Monster.mp3,Monster.mp3,1235.828,19773249,Monster,,Audio Bee,,,,,,,,,
todo,audio recordings/BDG Legal Study.mp3,BDG Legal Study.mp3,730.052,11680836,BDG Legal Study,,Audio Bee,,,,,,,,,
todo,audio recordings/20 ft. Monster.mp3,20 ft. Monster.mp3,702.74,11243841,20 ft. Monster,,Audio Bee,,,,,,,,,
todo,audio recordings/Taylor MJ_1.mp3,Taylor MJ_1.mp3,535.396,8566338,Taylor MJ_1,,Audio Bee,,,,,,,,,
todo,audio recordings/take a 💩.mp3,take a 💩.mp3,173.061,2768978,take a 💩,,Audio Bee,,,,,,,,,
todo,audio recordings/Recording.mp3,Recording.mp3,,1939713,Recording,,Audio Bee,,,,,,,,,
todo,audio recordings/Recording_2.mp3,Recording_2.mp3,,1670145,Recording_2,,Audio Bee,,,,,,,,,
todo,audio recordings/Recording_1.mp3,Recording_1.mp3,,1649409,Recording_1,,Audio Bee,,,,,,,,,
todo,audio recordings/Security Camera Stalking.mp3,Security Camera Stalking.mp3,,651777,Security Camera Stalking,,Audio Bee,,,,,,,,,
