review_status,canonical_key,canonical_title,primary_file,variant_count,variant_extensions,max_duration_seconds,series_or_project,episode_or_segment,rights_status,publishable,sensitivity_level,primary_topics,people_entities,summary_for_search,variant_paths,notes
todo,20 ft. monster,20 ft. Monster,audio recordings/20 ft. Monster.mp3,1,.mp3,702.74,Audio Bee,,,,,,,,audio recordings/20 ft. Monster.mp3,
todo,bdg legal study,BDG Legal Study,audio recordings/BDG Legal Study.mp3,1,.mp3,730.052,Audio Bee,,,,,,,,audio recordings/BDG Legal Study.mp3,
todo,monster,Monster,audio recordings/Monster.mp3,1,.mp3,1235.828,Audio Bee,,,,,,,,audio recordings/Monster.mp3,
todo,no bird,No Bird,audio recordings/No Bird.mp3,1,.mp3,313.472,Audio Bee,,,,,,,,audio recordings/No Bird.mp3,
todo,recording,Recording,audio recordings/Recording.mp3,3,.mp3,,Audio Bee,,,,,,,,audio recordings/Recording.mp3 | audio recordings/Recording_2.mp3 | audio recordings/Recording_1.mp3,
todo,security camera stalking,Security Camera Stalking,audio recordings/Security Camera Stalking.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Security Camera Stalking.mp3,
todo,audio_01_02_2025_10_45,Session Audio 01 02 2025 10 45 31,audio recordings/Audio_01_02_2025_10_45_31.mp3,1,.mp3,624.224,Audio Bee,,,,,,,,audio recordings/Audio_01_02_2025_10_45_31.mp3,
todo,audio_01_02_2025_12_37,Session Audio 01 02 2025 12 37 34,audio recordings/Audio_01_02_2025_12_37_34.mp3,1,.mp3,274.34,Audio Bee,,,,,,,,audio recordings/Audio_01_02_2025_12_37_34.mp3,
todo,audio_01_02_2025_12_43,Session Audio 01 02 2025 12 43 05,audio recordings/Audio_01_02_2025_12_43_05.mp3,1,.mp3,270.272,Audio Bee,,,,,,,,audio recordings/Audio_01_02_2025_12_43_05.mp3,
todo,audio_01_02_2025_13_01,Session Audio 01 02 2025 13 01 17,audio recordings/Audio_01_02_2025_13_01_17.mp3,1,.mp3,892.928,Audio Bee,,,,,,,,audio recordings/Audio_01_02_2025_13_01_17.mp3,
todo,audio_01_02_2025_13_16,Session Audio 01 02 2025 13 16 41,audio recordings/Audio_01_02_2025_13_16_41.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_01_02_2025_13_16_41.mp3,
todo,audio_01_04_2025_09_51_01,Session Audio 01 04 2025 09 51 01 1,audio recordings/Audio_01_04_2025_09_51_01_1.mp3,1,.mp3,270.128,Audio Bee,,,,,,,,audio recordings/Audio_01_04_2025_09_51_01_1.mp3,
todo,audio_01_09_2023_12_55,Session Audio 01 09 2023 12 55 45,audio recordings/Audio_01_09_2023_12_55_45.mp3,1,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_01_09_2023_12_55_45.mp3,
todo,audio_01_09_2023_12_57,Session Audio 01 09 2023 12 57 33,audio recordings/Audio_01_09_2023_12_57_33.mp3,2,.mp3,,Audio Bee,,,,,,,,audio recordings/Audio_01_09_2023_12_57_33.mp3 | audio recordings/Audio_01_09_2023_12_57_58.mp3,
todo,audio_01_13_2025_16_54,Session Audio 01 13 2025 16 54 13,audio recordings/Audio_01_13_2025_16_54_13.mp3,1,.mp3,146.936,Audio Bee,,,,,,,,audio recordings/Audio_01_13_2025_16_54_13.mp3,
todo,audio_01_13_2025_16_58,Session Audio 01 13 2025 16 58 12,audio recordings/Audio_01_13_2025_16_58_12.mp3,1,.mp3,250.256,Audio Bee,,,,,,,,audio recordings/Audio_01_13_2025_16_58_12.mp3,
