file_path,relative_to_audio_bee,top_folder,file_name,extension,inferred_type,inferred_category,size_bytes,modified_at,size_name_fingerprint,manual_title,manual_creator,manual_project,manual_rights_status,manual_publishable,manual_tags,manual_notes
Audio Bee/.DS_Store,.DS_Store,(root),.DS_Store,,other,ops_system,6148,2026-03-17T14:30:55,6148:.ds_store,,,,,,,
Audio Bee/README.md,README.md,(root),README.md,.md,document,project_docs,1558,2026-03-16T09:43:19,1558:readme.md,,,,,,,
Audio Bee/audio recordings/.DS_Store,audio recordings/.DS_Store,audio recordings,.DS_Store,,other,raw_capture,8196,2026-03-17T14:34:33,8196:.ds_store,,,,,,,
Audio Bee/audio recordings/20 ft. Monster.mp3,audio recordings/20 ft. Monster.mp3,audio recordings,20 ft. Monster.mp3,.mp3,audio,raw_capture,11243841,2025-04-21T15:07:13,11243841:20 ft. monster.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_02_2025_10_45_31.mp3,audio recordings/Audio_01_02_2025_10_45_31.mp3,audio recordings,Audio_01_02_2025_10_45_31.mp3,.mp3,audio,raw_capture,9987585,2025-01-02T10:55:56,9987585:audio_01_02_2025_10_45_31.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_02_2025_12_37_34.mp3,audio recordings/Audio_01_02_2025_12_37_34.mp3,audio recordings,Audio_01_02_2025_12_37_34.mp3,.mp3,audio,raw_capture,4389441,2025-01-02T12:42:08,4389441:audio_01_02_2025_12_37_34.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_02_2025_12_43_05.mp3,audio recordings/Audio_01_02_2025_12_43_05.mp3,audio recordings,Audio_01_02_2025_12_43_05.mp3,.mp3,audio,raw_capture,4324353,2025-01-02T12:47:36,4324353:audio_01_02_2025_12_43_05.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_02_2025_13_01_17.mp3,audio recordings/Audio_01_02_2025_13_01_17.mp3,audio recordings,Audio_01_02_2025_13_01_17.mp3,.mp3,audio,raw_capture,14286849,2025-01-02T13:16:10,14286849:audio_01_02_2025_13_01_17.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_02_2025_13_16_41.mp3,audio recordings/Audio_01_02_2025_13_16_41.mp3,audio recordings,Audio_01_02_2025_13_16_41.mp3,.mp3,audio,raw_capture,0,2025-01-02T13:16:41,0:audio_01_02_2025_13_16_41.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_04_2025_09_51_01_1.mp3,audio recordings/Audio_01_04_2025_09_51_01_1.mp3,audio recordings,Audio_01_04_2025_09_51_01_1.mp3,.mp3,audio,raw_capture,4322049,2025-01-04T09:55:31,4322049:audio_01_04_2025_09_51_01_1.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_09_2023_12_55_45.mp3,audio recordings/Audio_01_09_2023_12_55_45.mp3,audio recordings,Audio_01_09_2023_12_55_45.mp3,.mp3,audio,raw_capture,1420737,2023-01-09T12:57:14,1420737:audio_01_09_2023_12_55_45.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_09_2023_12_57_33.mp3,audio recordings/Audio_01_09_2023_12_57_33.mp3,audio recordings,Audio_01_09_2023_12_57_33.mp3,.mp3,audio,raw_capture,142017,2023-01-09T12:57:42,142017:audio_01_09_2023_12_57_33.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_09_2023_12_57_58.mp3,audio recordings/Audio_01_09_2023_12_57_58.mp3,audio recordings,Audio_01_09_2023_12_57_58.mp3,.mp3,audio,raw_capture,89025,2023-01-09T12:58:04,89025:audio_01_09_2023_12_57_58.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_13_2025_16_54_13.mp3,audio recordings/Audio_01_13_2025_16_54_13.mp3,audio recordings,Audio_01_13_2025_16_54_13.mp3,.mp3,audio,raw_capture,2350977,2025-01-13T16:56:40,2350977:audio_01_13_2025_16_54_13.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_13_2025_16_58_12.mp3,audio recordings/Audio_01_13_2025_16_58_12.mp3,audio recordings,Audio_01_13_2025_16_58_12.mp3,.mp3,audio,raw_capture,4004097,2025-01-13T17:02:23,4004097:audio_01_13_2025_16_58_12.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_13_2025_17_07_28.mp3,audio recordings/Audio_01_13_2025_17_07_28.mp3,audio recordings,Audio_01_13_2025_17_07_28.mp3,.mp3,audio,raw_capture,26352897,2025-01-13T17:34:55,26352897:audio_01_13_2025_17_07_28.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_13_2025_17_35_21.mp3,audio recordings/Audio_01_13_2025_17_35_21.mp3,audio recordings,Audio_01_13_2025_17_35_21.mp3,.mp3,audio,raw_capture,15074241,2025-01-13T17:51:04,15074241:audio_01_13_2025_17_35_21.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_13_2025_17_51_30.mp3,audio recordings/Audio_01_13_2025_17_51_30.mp3,audio recordings,Audio_01_13_2025_17_51_30.mp3,.mp3,audio,raw_capture,4437249,2025-01-13T17:56:07,4437249:audio_01_13_2025_17_51_30.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_22_2025_19_53_16.mp3,audio recordings/Audio_01_22_2025_19_53_16.mp3,audio recordings,Audio_01_22_2025_19_53_16.mp3,.mp3,audio,raw_capture,639105,2025-01-22T19:53:56,639105:audio_01_22_2025_19_53_16.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_22_2025_20_12_49.mp3,audio recordings/Audio_01_22_2025_20_12_49.mp3,audio recordings,Audio_01_22_2025_20_12_49.mp3,.mp3,audio,raw_capture,13194564,2025-01-22T20:26:45,13194564:audio_01_22_2025_20_12_49.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_27_2025_09_08_50.mp3,audio recordings/Audio_01_27_2025_09_08_50.mp3,audio recordings,Audio_01_27_2025_09_08_50.mp3,.mp3,audio,raw_capture,12142401,2025-01-27T09:21:29,12142401:audio_01_27_2025_09_08_50.mp3,,,,,,,
Audio Bee/audio recordings/Audio_01_27_2025_10_03_40.mp3,audio recordings/Audio_01_27_2025_10_03_40.mp3,audio recordings,Audio_01_27_2025_10_03_40.mp3,.mp3,audio,raw_capture,16452033,2025-01-27T10:20:48,16452033:audio_01_27_2025_10_03_40.mp3,,,,,,,
Audio Bee/audio recordings/Audio_02_20_2025_15_13_32.mp3,audio recordings/Audio_02_20_2025_15_13_32.mp3,audio recordings,Audio_02_20_2025_15_13_32.mp3,.mp3,audio,raw_capture,10859394,2025-02-20T15:25:08,10859394:audio_02_20_2025_15_13_32.mp3,,,,,,,
Audio Bee/audio recordings/Audio_03_08_2025_10_57_22.mp3,audio recordings/Audio_03_08_2025_10_57_22.mp3,audio recordings,Audio_03_08_2025_10_57_22.mp3,.mp3,audio,raw_capture,21870786,2025-03-08T11:20:12,21870786:audio_03_08_2025_10_57_22.mp3,,,,,,,
Audio Bee/audio recordings/Audio_03_21_2025_21_08_13_1.mp3,audio recordings/Audio_03_21_2025_21_08_13_1.mp3,audio recordings,Audio_03_21_2025_21_08_13_1.mp3,.mp3,audio,raw_capture,10947777,2025-03-21T21:19:37,10947777:audio_03_21_2025_21_08_13_1.mp3,,,,,,,
Audio Bee/audio recordings/Audio_03_21_2025_21_19_44.mp3,audio recordings/Audio_03_21_2025_21_19_44.mp3,audio recordings,Audio_03_21_2025_21_19_44.mp3,.mp3,audio,raw_capture,6961281,2025-03-21T21:26:59,6961281:audio_03_21_2025_21_19_44.mp3,,,,,,,
Audio Bee/audio recordings/Audio_04_20_2025_12_14_46.mp3,audio recordings/Audio_04_20_2025_12_14_46.mp3,audio recordings,Audio_04_20_2025_12_14_46.mp3,.mp3,audio,raw_capture,6845505,2025-04-20T12:22:20,6845505:audio_04_20_2025_12_14_46.mp3,,,,,,,
Audio Bee/audio recordings/Audio_05_06_2025_15_27_56.mp3,audio recordings/Audio_05_06_2025_15_27_56.mp3,audio recordings,Audio_05_06_2025_15_27_56.mp3,.mp3,audio,raw_capture,28676628,2025-05-06T15:57:48,28676628:audio_05_06_2025_15_27_56.mp3,,,,,,,
Audio Bee/audio recordings/Audio_05_11_2025_08_15_18.mp3,audio recordings/Audio_05_11_2025_08_15_18.mp3,audio recordings,Audio_05_11_2025_08_15_18.mp3,.mp3,audio,raw_capture,1441860,2025-05-11T08:16:48,1441860:audio_05_11_2025_08_15_18.mp3,,,,,,,
Audio Bee/audio recordings/Audio_05_16_2025_21_15_11.mp3,audio recordings/Audio_05_16_2025_21_15_11.mp3,audio recordings,Audio_05_16_2025_21_15_11.mp3,.mp3,audio,raw_capture,22843625,2025-05-16T21:38:59,22843625:audio_05_16_2025_21_15_11.mp3,,,,,,,
Audio Bee/audio recordings/Audio_05_16_2025_23_26_41.mp3,audio recordings/Audio_05_16_2025_23_26_41.mp3,audio recordings,Audio_05_16_2025_23_26_41.mp3,.mp3,audio,raw_capture,516596,2025-05-16T23:27:48,516596:audio_05_16_2025_23_26_41.mp3,,,,,,,
Audio Bee/audio recordings/Audio_05_20_2025_07_30_39.mp3,audio recordings/Audio_05_20_2025_07_30_39.mp3,audio recordings,Audio_05_20_2025_07_30_39.mp3,.mp3,audio,raw_capture,9689041,2025-05-20T07:40:44,9689041:audio_05_20_2025_07_30_39.mp3,,,,,,,
Audio Bee/audio recordings/Audio_05_22_2025_23_14_54.mp3,audio recordings/Audio_05_22_2025_23_14_54.mp3,audio recordings,Audio_05_22_2025_23_14_54.mp3,.mp3,audio,raw_capture,6131792,2025-05-22T23:21:17,6131792:audio_05_22_2025_23_14_54.mp3,,,,,,,
Audio Bee/audio recordings/Audio_05_30_2023_08_31_42.mp3,audio recordings/Audio_05_30_2023_08_31_42.mp3,audio recordings,Audio_05_30_2023_08_31_42.mp3,.mp3,audio,raw_capture,1013505,2023-05-30T08:32:46,1013505:audio_05_30_2023_08_31_42.mp3,,,,,,,
Audio Bee/audio recordings/Audio_06_01_2025_13_02_54.mp3,audio recordings/Audio_06_01_2025_13_02_54.mp3,audio recordings,Audio_06_01_2025_13_02_54.mp3,.mp3,audio,raw_capture,9503046,2025-06-01T13:12:48,9503046:audio_06_01_2025_13_02_54.mp3,,,,,,,
Audio Bee/audio recordings/Audio_06_01_2025_19_50_52.mp3,audio recordings/Audio_06_01_2025_19_50_52.mp3,audio recordings,Audio_06_01_2025_19_50_52.mp3,.mp3,audio,raw_capture,3143410,2025-06-01T19:54:09,3143410:audio_06_01_2025_19_50_52.mp3,,,,,,,
Audio Bee/audio recordings/Audio_06_17_2023_21_45_15.mp3,audio recordings/Audio_06_17_2023_21_45_15.mp3,audio recordings,Audio_06_17_2023_21_45_15.mp3,.mp3,audio,raw_capture,8275203,2023-06-17T21:55:00,8275203:audio_06_17_2023_21_45_15.mp3,,,,,,,
Audio Bee/audio recordings/Audio_06_18_2025_11_53_08.mp3,audio recordings/Audio_06_18_2025_11_53_08.mp3,audio recordings,Audio_06_18_2025_11_53_08.mp3,.mp3,audio,raw_capture,2033688,2025-06-18T11:55:15,2033688:audio_06_18_2025_11_53_08.mp3,,,,,,,
Audio Bee/audio recordings/Audio_06_21_2025_22_21_57.mp3,audio recordings/Audio_06_21_2025_22_21_57.mp3,audio recordings,Audio_06_21_2025_22_21_57.mp3,.mp3,audio,raw_capture,85862917,2025-06-21T23:55:48,85862917:audio_06_21_2025_22_21_57.mp3,,,,,,,
Audio Bee/audio recordings/Audio_06_23_2025_22_33_55.mp3,audio recordings/Audio_06_23_2025_22_33_55.mp3,audio recordings,Audio_06_23_2025_22_33_55.mp3,.mp3,audio,raw_capture,16597576,2025-06-23T22:52:58,16597576:audio_06_23_2025_22_33_55.mp3,,,,,,,
Audio Bee/audio recordings/Audio_06_23_2025_23_40_34.mp3,audio recordings/Audio_06_23_2025_23_40_34.mp3,audio recordings,Audio_06_23_2025_23_40_34.mp3,.mp3,audio,raw_capture,16243884,2025-06-23T23:57:29,16243884:audio_06_23_2025_23_40_34.mp3,,,,,,,
Audio Bee/audio recordings/Audio_07_08_2025_15_10_02.mp3,audio recordings/Audio_07_08_2025_15_10_02.mp3,audio recordings,Audio_07_08_2025_15_10_02.mp3,.mp3,audio,raw_capture,8621148,2025-07-08T15:19:01,8621148:audio_07_08_2025_15_10_02.mp3,,,,,,,
Audio Bee/audio recordings/Audio_07_18_2025_22_42_26.mp3,audio recordings/Audio_07_18_2025_22_42_26.mp3,audio recordings,Audio_07_18_2025_22_42_26.mp3,.mp3,audio,raw_capture,677340797,2025-07-19T12:13:45,677340797:audio_07_18_2025_22_42_26.mp3,,,,,,,
Audio Bee/audio recordings/Audio_07_20_2025_22_22_19.mp3,audio recordings/Audio_07_20_2025_22_22_19.mp3,audio recordings,Audio_07_20_2025_22_22_19.mp3,.mp3,audio,raw_capture,2027101,2025-07-20T22:24:33,2027101:audio_07_20_2025_22_22_19.mp3,,,,,,,
Audio Bee/audio recordings/Audio_07_28_2025_21_29_20.mp3,audio recordings/Audio_07_28_2025_21_29_20.mp3,audio recordings,Audio_07_28_2025_21_29_20.mp3,.mp3,audio,raw_capture,3892338,2025-07-28T21:33:23,3892338:audio_07_28_2025_21_29_20.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_04_2025_22_14_33.mp3,audio recordings/Audio_08_04_2025_22_14_33.mp3,audio recordings,Audio_08_04_2025_22_14_33.mp3,.mp3,audio,raw_capture,605879369,2025-08-05T08:47:04,605879369:audio_08_04_2025_22_14_33.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_07_2025_09_00_07.mp3,audio recordings/Audio_08_07_2025_09_00_07.mp3,audio recordings,Audio_08_07_2025_09_00_07.mp3,.mp3,audio,raw_capture,31205971,2025-08-07T09:32:56,31205971:audio_08_07_2025_09_00_07.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_07_2025_22_08_52.mp3,audio recordings/Audio_08_07_2025_22_08_52.mp3,audio recordings,Audio_08_07_2025_22_08_52.mp3,.mp3,audio,raw_capture,10747323,2025-08-07T22:20:04,10747323:audio_08_07_2025_22_08_52.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_07_2025_22_39_26.mp3,audio recordings/Audio_08_07_2025_22_39_26.mp3,audio recordings,Audio_08_07_2025_22_39_26.mp3,.mp3,audio,raw_capture,632153976,2025-08-08T09:47:36,632153976:audio_08_07_2025_22_39_26.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_08_2022_08_59_12.mp3,audio recordings/Audio_08_08_2022_08_59_12.mp3,audio recordings,Audio_08_08_2022_08_59_12.mp3,.mp3,audio,raw_capture,175170,2022-08-08T08:59:25,175170:audio_08_08_2022_08_59_12.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_12_2025_23_47_02_1.mp3,audio recordings/Audio_08_12_2025_23_47_02_1.mp3,audio recordings,Audio_08_12_2025_23_47_02_1.mp3,.mp3,audio,raw_capture,464146947,2025-08-13T07:55:47,464146947:audio_08_12_2025_23_47_02_1.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_16_2025_19_20_48.mp3,audio recordings/Audio_08_16_2025_19_20_48.mp3,audio recordings,Audio_08_16_2025_19_20_48.mp3,.mp3,audio,raw_capture,15838461,2025-08-16T19:37:18,15838461:audio_08_16_2025_19_20_48.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_30_2023_19_33_57.mp3,audio recordings/Audio_08_30_2023_19_33_57.mp3,audio recordings,Audio_08_30_2023_19_33_57.mp3,.mp3,audio,raw_capture,11404545,2023-08-30T19:45:50,11404545:audio_08_30_2023_19_33_57.mp3,,,,,,,
Audio Bee/audio recordings/Audio_08_31_2025_18_32_57.mp3,audio recordings/Audio_08_31_2025_18_32_57.mp3,audio recordings,Audio_08_31_2025_18_32_57.mp3,.mp3,audio,raw_capture,50228989,2025-08-31T19:25:17,50228989:audio_08_31_2025_18_32_57.mp3,,,,,,,
Audio Bee/audio recordings/Audio_09_06_2023_11_42_33 (1).mp3,audio recordings/Audio_09_06_2023_11_42_33 (1).mp3,audio recordings,Audio_09_06_2023_11_42_33 (1).mp3,.mp3,audio,raw_capture,3051969,2024-12-21T11:10:27,3051969:audio_09_06_2023_11_42_33 (1).mp3,,,,,,,
Audio Bee/audio recordings/Audio_09_06_2023_11_42_33.mp3,audio recordings/Audio_09_06_2023_11_42_33.mp3,audio recordings,Audio_09_06_2023_11_42_33.mp3,.mp3,audio,raw_capture,3051969,2023-09-06T11:45:44,3051969:audio_09_06_2023_11_42_33.mp3,,,,,,,
Audio Bee/audio recordings/Audio_09_08_2025_22_07_55.mp3,audio recordings/Audio_09_08_2025_22_07_55.mp3,audio recordings,Audio_09_08_2025_22_07_55.mp3,.mp3,audio,raw_capture,34054363,2025-09-08T22:43:24,34054363:audio_09_08_2025_22_07_55.mp3,,,,,,,
Audio Bee/audio recordings/Audio_09_17_2025_12_44_30.mp3,audio recordings/Audio_09_17_2025_12_44_30.mp3,audio recordings,Audio_09_17_2025_12_44_30.mp3,.mp3,audio,raw_capture,13499569,2025-09-17T12:58:41,13499569:audio_09_17_2025_12_44_30.mp3,,,,,,,
Audio Bee/audio recordings/Audio_10_02_2024_10_24_36.mp3,audio recordings/Audio_10_02_2024_10_24_36.mp3,audio recordings,Audio_10_02_2024_10_24_36.mp3,.mp3,audio,raw_capture,9114114,2024-10-02T10:32:50,9114114:audio_10_02_2024_10_24_36.mp3,,,,,,,
Audio Bee/audio recordings/Audio_10_02_2024_10_24_36^.wav,audio recordings/Audio_10_02_2024_10_24_36^.wav,audio recordings,Audio_10_02_2024_10_24_36^.wav,.wav,audio,raw_capture,50238058,2024-12-21T11:55:41,50238058:audio_10_02_2024_10_24_36^.wav,,,,,,,
Audio Bee/audio recordings/Audio_10_02_2025_08_34_16.mp3,audio recordings/Audio_10_02_2025_08_34_16.mp3,audio recordings,Audio_10_02_2025_08_34_16.mp3,.mp3,audio,raw_capture,3252465,2025-10-02T08:37:39,3252465:audio_10_02_2025_08_34_16.mp3,,,,,,,
Audio Bee/audio recordings/Audio_10_03_2024_22_35_21.mp3,audio recordings/Audio_10_03_2024_22_35_21.mp3,audio recordings,Audio_10_03_2024_22_35_21.mp3,.mp3,audio,raw_capture,180609,2024-10-03T22:35:32,180609:audio_10_03_2024_22_35_21.mp3,,,,,,,
Audio Bee/audio recordings/Audio_10_03_2024_22_35_21^.wav,audio recordings/Audio_10_03_2024_22_35_21^.wav,audio recordings,Audio_10_03_2024_22_35_21^.wav,.wav,audio,raw_capture,993880,2024-12-21T11:55:42,993880:audio_10_03_2024_22_35_21^.wav,,,,,,,
Audio Bee/audio recordings/Audio_10_03_2024_22_40_07.mp3,audio recordings/Audio_10_03_2024_22_40_07.mp3,audio recordings,Audio_10_03_2024_22_40_07.mp3,.mp3,audio,raw_capture,51891585,2024-10-03T23:34:10,51891585:audio_10_03_2024_22_40_07.mp3,,,,,,,
Audio Bee/audio recordings/Audio_10_03_2024_22_40_07^.wav,audio recordings/Audio_10_03_2024_22_40_07^.wav,audio recordings,Audio_10_03_2024_22_40_07^.wav,.wav,audio,raw_capture,286050636,2024-12-21T11:55:44,286050636:audio_10_03_2024_22_40_07^.wav,,,,,,,
