offload_priority,bundle_path,bundle_level,bytes,gib,file_count,suggested_tier,rationale
1,Archiavellian-Archive/Communication_Backup,root,4474240723,4.167,2135,cold,Top-level candidate root
2,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed,child,4469253732,4.162,2087,cold,One-level bundle candidate for pilot/offload wave
3,Archiavellian-Archive/previews,root,11552139,0.011,18,cold,Top-level candidate root
4,Archiavellian-Archive/previews/ql,child,9235940,0.009,6,cold,One-level bundle candidate for pilot/offload wave
5,Archiavellian-Archive/backups,root,5228002,0.005,14,cold,Top-level candidate root
6,Archiavellian-Archive/backups/phone_cleanup_backups,child,5228002,0.005,14,cold,One-level bundle candidate for pilot/offload wave
7,Archiavellian-Archive/reference,root,2974926,0.003,57,warm,Top-level candidate root
8,Archiavellian-Archive/reference/pm_managed_dam,child,2854552,0.003,52,warm,One-level bundle candidate for pilot/offload wave
9,Archiavellian-Archive/Communication_Backup/06_Jesse_Kaser,child,2103559,0.002,12,cold,One-level bundle candidate for pilot/offload wave
10,Archiavellian-Archive/previews/ql_videos,child,2004097,0.002,5,cold,One-level bundle candidate for pilot/offload wave
11,Archiavellian-Archive/Communication_Backup/07_Taylor_Tripp,child,1868411,0.002,8,cold,One-level bundle candidate for pilot/offload wave
12,Archiavellian-Archive/Communication_Backup/08_Raelynn_Maloney,child,942289,0.001,7,cold,One-level bundle candidate for pilot/offload wave
13,Producer/sandbox,root,349098,0.0,51,cold,Top-level candidate root
14,Archiavellian-Archive/previews/ql_stillstanding,child,312102,0.0,7,cold,One-level bundle candidate for pilot/offload wave
15,Audio Bee/output,root,169317,0.0,6,warm,Top-level candidate root
16,Producer/sandbox/openai_themes_nanobanana,child,78300,0.0,12,cold,One-level bundle candidate for pilot/offload wave
17,Archiavellian-Archive/Communication_Backup/10_Collection_Logs,child,24822,0.0,2,cold,One-level bundle candidate for pilot/offload wave
18,Archiavellian-Archive/Communication_Backup/05_Kids,child,22478,0.0,3,cold,One-level bundle candidate for pilot/offload wave
19,Archiavellian-Archive/Communication_Backup/00_Master_Index,child,21275,0.0,8,cold,One-level bundle candidate for pilot/offload wave
20,Producer/sandbox/avatar_film_framework,child,19133,0.0,3,cold,One-level bundle candidate for pilot/offload wave
21,Archiavellian-Archive/Communication_Backup/03_Parents,child,3382,0.0,4,cold,One-level bundle candidate for pilot/offload wave
22,Archiavellian-Archive/Communication_Backup/01_Lauren_DeSaire,child,507,0.0,2,cold,One-level bundle candidate for pilot/offload wave
23,Archiavellian-Archive/Communication_Backup/04_Brother,child,134,0.0,1,cold,One-level bundle candidate for pilot/offload wave
24,Archiavellian-Archive/Communication_Backup/02_Bee_Honey,child,134,0.0,1,cold,One-level bundle candidate for pilot/offload wave
