path,action,reason
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/1.0 Strategy/AdLib - White Paper 2018-07-18.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/1.0 Strategy/AdLib Pilot Workflow 2018-04-25.pdf,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/1.0 Strategy/AdOps - Weekly Status Meeting 2018-10-31.pptx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/1.0 Strategy/AdOps Timeline Progressions 2018-09-21.pptx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/1.0 Strategy/AdStor-AdBridge Feature Compare 2018-08-21.xlsx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/1.0 Strategy/Industry Best Practices.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/2.0 Business Model/Ad Ecosystem View 2018-08-08.xlsx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/2.0 Business Model/Sell Side Business Model - Nat STB-VOD 2018-08-12.xlsx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/2.0 Business Model/VOD-Deliveries.xlsx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/BUSINESS_ENTITY_AND_RELATIONSHIP_MAP.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/BUSINESS_RELATIONSHIP_AND_FUNDS_FLOW_MAP.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/CASE_SUMMARY_FOR_COUNSEL.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/CODEx_COMPLETION_REPORT.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/EXECUTIVE_SUMMARY_BANKRUPTCY_NARRATIVE.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/FINANCIAL_TIMELINE_FOR_COUNSEL.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/FOLDER_REORGANIZATION_PLAN.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/INTEGRATED_FINANCIAL_OVERVIEW_FOR_NEW_COUNSEL.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/LARGE_TRANSACTION_EXPLANATION_SHEET.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/MAY_2024_WIRE_AND_DEBIT_MEMO_ANALYSIS.md.docx,include,review include candidate
inbox/google-drive/2026-04/ingest-2026-04-20-net-new/20260316_counsel_packet_refresh/README_ATTORNEY_PACKET.md.docx,include,review include candidate
