moved_at,source_path,destination_path,bucket,bytes
2026-04-20T12:30:41-06:00,"To Check/2024 Individual (STOCK, MELISSA J.) ClientCopy.pdf","2024 Taxes/to-check-intake-2026-04-20/2024 Individual (STOCK, MELISSA J.) ClientCopy.pdf",taxes,1231862
2026-04-20T12:30:41-06:00,To Check/2024-10-02_ACH Centennial Accounting.pdf,Archiavellian-Archive/inbox/to-check-misc-2026-04-20/2024-10-02_ACH Centennial Accounting.pdf,misc_archive,3166819
2026-04-20T12:30:41-06:00,To Check/ANM W9 signed (2) 2.pdf,Aneumind and TC Structure/to-check-intake-2026-04-20/ANM W9 signed (2) 2.pdf,aneumind_business,4451735
2026-04-20T12:30:41-06:00,To Check/ANM W9 signed (2).zip,Aneumind and TC Structure/to-check-intake-2026-04-20/ANM W9 signed (2).zip,aneumind_business,4202128
2026-04-20T12:30:41-06:00,To Check/ANM W9 signed.pdf,Aneumind and TC Structure/to-check-intake-2026-04-20/ANM W9 signed.pdf,aneumind_business,4452283
2026-04-20T12:30:41-06:00,To Check/Aneumind and TC Structure.zip,Aneumind and TC Structure/to-check-intake-2026-04-20/Aneumind and TC Structure.zip,aneumind_business,539177
2026-04-20T12:30:41-06:00,To Check/Aneumind_30_Day_Social_Media_Calendar_Final_With_Themes (1).csv,Aneumind and TC Structure/to-check-intake-2026-04-20/Aneumind_30_Day_Social_Media_Calendar_Final_With_Themes (1).csv,aneumind_business,29416
2026-04-20T12:30:41-06:00,To Check/Aneumind_30_Day_Social_Media_Calendar_Final_With_Themes (2).csv,Aneumind and TC Structure/to-check-intake-2026-04-20/Aneumind_30_Day_Social_Media_Calendar_Final_With_Themes (2).csv,aneumind_business,29407
2026-04-20T12:30:41-06:00,To Check/Aneumind™ Logo.png,Aneumind and TC Structure/to-check-intake-2026-04-20/Aneumind™ Logo.png,aneumind_business,30931
2026-04-20T12:30:41-06:00,To Check/Authorization-for-Release-and-Exchange-of-Information-2022.pdf,Archiavellian-Archive/inbox/to-check-misc-2026-04-20/Authorization-for-Release-and-Exchange-of-Information-2022.pdf,sensitive_forms_misc_archive,165081
2026-04-20T12:30:41-06:00,To Check/COA-Care-Management-Referral-Form ZG.pdf,Archiavellian-Archive/inbox/to-check-misc-2026-04-20/COA-Care-Management-Referral-Form ZG.pdf,sensitive_forms_misc_archive,227933
2026-04-20T12:30:41-06:00,To Check/COA-Care-Management-Referral-Form.pdf,Archiavellian-Archive/inbox/to-check-misc-2026-04-20/COA-Care-Management-Referral-Form.pdf,sensitive_forms_misc_archive,222539
2026-04-20T12:30:41-06:00,To Check/Cloud Data Processing Addendum.pdf,Aneumind and TC Structure/to-check-intake-2026-04-20/Cloud Data Processing Addendum.pdf,aneumind_business,304292
2026-04-20T12:30:41-06:00,To Check/EBT.pdf,2024 Taxes/to-check-intake-2026-04-20/EBT.pdf,taxes,19014009
2026-04-20T12:30:41-06:00,To Check/Google Workspace HIPAA Business Associate Amendment.pdf,Aneumind and TC Structure/to-check-intake-2026-04-20/Google Workspace HIPAA Business Associate Amendment.pdf,aneumind_business,227779
