phone_file,bytes,sha256,matching_archive_file_count,sample_archive_match
"Phone Files/Photos/Arrowhead Golf Club, September 23, 2021/Library - 313 of 7793.jpeg",17446128,9cbb28d5c4145374897dce6728b529f134992103921bb6004a014cc045791118,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-arrowhead-golf-club__when-2021-09-23__orig-library-313-of-7793.jpeg
"Phone Files/Photos/Arrowhead Golf Club, September 23, 2021/Library - 312 of 7793.jpeg",16958467,5f917e0b4df476ebecbf8e40490c6f37b153372d225675bf972db0bf28368ddb,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-arrowhead-golf-club__when-2021-09-23__orig-library-312-of-7793.jpeg
"Phone Files/Photos/Nicoya, August 4, 2022/Library - 1676 of 7793.jpeg",11739947,a271251df5727852088c833a3849eefb39a5bfc147aa4e9997e31706c2526849,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-nicoya__when-2022-08-04__orig-library-1676-of-7793.jpeg
"Phone Files/Photos/Nicoya, July 30, 2022/Library - 1587 of 7793.jpeg",9083716,a6ed19f31ea8c388aaf674e92ee93e709a2b0158fb2c7c1a96364c3567f04388,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-nicoya__when-2022-07-30__orig-library-1587-of-7793.jpeg
"Phone Files/Photos/Nicoya, July 30, 2022/Library - 1584 of 7793.jpeg",8746131,bc51ee3c5e2cc6b7fa2aa5f18e364f0a19aa3c4f7d42105d145b1c1a2e8a4ecc,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-nicoya__when-2022-07-30__orig-library-1584-of-7793.jpeg
"Phone Files/Photos/Denver, August 23, 2022/Library - 1743 of 7793.jpeg",7331928,71935f908c3e5416e3bead7d97b891acbcd9d6b56a3fb9f799ce7e589cf23704,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-denver__when-2022-08-23__orig-library-1743-of-7793.jpeg
"Phone Files/Photos/Denver, June 25, 2022/Library - 1290 of 7793.jpeg",7260707,888f11fc888dc7864f560339114079aff3b78b479effeceee12ad3ca7ed21436,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-denver__when-2022-06-25__orig-library-1290-of-7793.jpeg
"Phone Files/Photos/Granby, April 2, 2022/Library - 951 of 7793.jpeg",7079421,dfdfce43295f566c973a25d12814f1db69c266bacf3d5f3d9d54c89b5ab870c8,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-granby__when-2022-04-02__orig-library-951-of-7793.jpeg
"Phone Files/Photos/Denver, July 9, 2021/Library - 161 of 7793.jpeg",6603116,34bb3952f8b01776f0d315ba7c339fff496ded96319c89bfab7e06e13173de52,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-denver__when-2021-07-09__orig-library-161-of-7793.jpeg
"Phone Files/Photos/Denver, August 23, 2022/Library - 1742 of 7793.jpeg",6463169,529b212f0f37d144a5d14ccd5f42d23bfc5e7f94704556f05fd231133fe13238,1,Archiavellian-Archive/Communication_Backup/09_Unresolved_or_Review_Needed/Photos_Screenshots/2026-03-17_155301_finder_phone_files_photos_snapshot/normalized_files/who-unknown__what-photo__where-denver__when-2022-08-23__orig-library-1742-of-7793.jpeg
